Company,Location,Job Title,min_salary,max_salary,avg_salary
Meru Technosoft Private Limited,Ahmedabad,Full Stack Developer,5000.0,10000.0,7500.0
Demandlane,Work from home,Data Scientist,10000.0,16000.0,13000.0
Lohitech Solutions,Work from home,Data Scientist,2000.0,2001.0,2000.5
Fraxotic Innovations Private Limited,Work from home,Data Scientist,3000.0,3000.0,3000.0
Fonix Technologies,Jaipur,Software Engineer (Backend),5000.0,10000.0,7500.0
Idea Usher,Work from home,Mobile Developer,12000.0,15000.0,13500.0
Sedani Digital Private Limited,Ahmedabad,Software Engineer (Frontend),3000.0,3000.0,3000.0
Cloudify,Work from home,Software Engineer (Backend),14000.0,15000.0,14500.0
Cloudify,Work from home,Software Engineer (Backend),14000.0,15000.0,14500.0
Ratio Ventures LLP,Bangalore,Full Stack Developer,15000.0,25000.0,20000.0
Altie Reality Private Limited,Jaipur,Data Scientist,5000.0,5000.0,5000.0
DEVNEURAL,Work from home,Data Scientist,5000.0,10000.0,7500.0
Rapsys Info Tech,Chennai,Data Scientist,2500.0,3000.0,2750.0
SafeMax Security,Work from home,Software Engineer (Backend),20000.0,25000.0,22500.0
IDZ Digital Private Limited,Work from home,Game Developer,8000.0,10000.0,9000.0
Joveo,Work from home,Software Engineer (Backend),50000.0,50000.0,50000.0
WebShark Web Services,Bangalore,Web Development,20000.0,25000.0,22500.0
Madrocket Technologies & Media,Work from home,Software Engineer (Frontend),1000.0,5000.0,3000.0
Anuj Mehta,Work from home,iOS Developer,5000.0,10000.0,7500.0
PURNYX ENTERTAINMENT PRIVATE LIMITED,Work from home,UI/UX Designer,5000.0,5000.0,5000.0
1accord,Mumbai,DevOps Engineer,13000.0,20000.0,16500.0
Cognitio Eduventures Private Limited,Work from home,Data Scientist,13000.0,15000.0,14000.0
OyeLabs,Work from home,DevOps Engineer,5000.0,10000.0,7500.0
Emoolar Technology Private Limited,Work from home,Cybersecurity Analyst,5000.0,7000.0,6000.0
WES Consultancy & Services Private Limited,Raipur,Data Scientist,6000.0,8000.0,7000.0
Trigrexam,Work from home,Full Stack Developer,10000.0,12000.0,11000.0
Isourse,Delhi,Machine Learning Engineer,30000.0,33001.0,31500.5
Distinctive Marketing Solutions,Work from home,NLP Engineer,10000.0,15000.0,12500.0
Basti Ki Pathshala Foundation,Work from home,Mobile Developer,8000.0,10000.0,9002.5
Vedaz,Work from home,Full Stack Developer,5000.0,5000.0,5000.0
Messold Technologies,Work from home,Web Development,7000.0,10000.0,8500.0
ITGAI Software Solutions Opc Private Limited,Dehradun,Data Scientist,5000.0,5000.0,5000.0
XivTech,Work from home,Data Scientist,15000.0,15000.0,15000.0
Resolute AI Software Private Limited,Work from home,QA Engineer,10000.0,10000.0,10000.0
ToXSL Technologies Private Limited,Mohali,Web Development,5000.0,10000.0,7500.0
Arbhu Enterprises Private Limited,Bangalore,NLP Engineer,20000.0,20000.0,20000.0
Aspire Infinity Solutions Pvt Ltd,Jaipur,Machine Learning Engineer,8000.0,12000.0,10000.0
Walnut Research And Development Centre,Work from home,Game Developer,8000.0,10000.0,9000.0
Stirring Minds,Delhi,Data Scientist,7000.0,8000.0,7500.0
NFJ Labs Private Limited,Work from home,Technical Writer,7500.0,8500.0,8000.0
Velozity Global Solutions,Chennai,Mobile Developer,15000.0,20000.0,17500.0
Landsking Infra Private Limited,Indore,Data Scientist,7000.0,25000.0,16000.0
SMARRTIF AI,Delhi,Machine Learning Engineer,5000.0,5000.0,5000.0
Hype Digitally,Indore,Web Development,6000.0,12000.0,9000.0
Enpointe,Mumbai,Full Stack Developer,15000.0,25000.0,20000.0
Prodigal SoftTech India Private Limited,Work from home,Data Scientist,10000.0,10001.0,10000.5
Srchout Software Private Limited,Gurgaon,Software Engineer (Backend),10000.0,12000.0,11000.0
Highavenue,Work from home,Machine Learning Engineer,12000.0,12000.0,12000.0
TRUE FILES INDIA LLP,Varanasi,Data Scientist,7000.0,18000.0,12500.0
Energy Alternatives India,Chennai,Machine Learning Engineer,15000.0,20000.0,17500.0
Avon Building Solutions Private Limited,Pune,Data Scientist,12500.0,20000.0,16250.0
Munshot,Work from home,Machine Learning Engineer,10000.0,10001.0,10000.5
Neyvin Technologies,Work from home,Web Development,2000.0,8000.0,5000.0
Nippon Data Systems Limited,Noida,Data Scientist,6000.0,6000.0,6000.0
KasperTech,Work from home,Data Scientist,15000.0,15000.0,15000.0
Tutedude,Work from home,Data Scientist,5000.0,8000.0,6500.0
Alphabt,"Gurgaon, Lucknow, Manesar",Machine Learning Engineer,12500.0,15000.0,13750.0
Stories Arabia FZ,Work from home,Junior Developer,5500.0,9000.0,7250.0
Reach Technologies,Work from home,Machine Learning Engineer,11000.0,15000.0,13000.0
Reach Technologies,Work from home,Web Development,7000.0,9000.0,8000.0
Reach Technologies,Work from home,Data Scientist,8000.0,9000.0,8500.0
Reach Technologies,Work from home,iOS Developer,7000.0,9000.0,8000.0
Lumaqi.com,Work from home,Data Scientist,5000.0,10000.0,7500.0
Digital Guruji,Delhi,Full Stack Developer,15000.0,15000.0,15000.0
Digital Guruji,Work from home,Mobile Developer,5000.0,5000.0,5000.0
Still Travelling,Work from home,Software Engineer (Frontend),10000.0,10000.0,10000.0
Meru Technosoft Private Limited,Work from home,Software Engineer (Frontend),5000.0,8000.0,6500.0
Dexterous Manufacturing Labs Private Limited,Bangalore,Software Engineer (Backend),15000.0,20000.0,17500.0
